PAX7,0.014683235609545684
MEFV,0.030978637807053382
MPL,0.0832519046530457
CLCNKA,0.03767871737133419
HERC2,0.0471987166504793
OGDH,0.054433953281342755
GHR,0.08954220198840625
DYSF,0.08291358014632604
APOE,0.07512299849149554
MSH6,0.05683074609009068
NR2E3,0.08644690007814618
HESX1,0.036640469165361976
AIPL1,0.01876618838171847
EFHC1,0.0966827607371486
ATR,0.0
GNRHR,0.048534507795132575
DPYD,0.15103326382744311
ACADL,0.1259427842360508
TBX21,0.08931829002280267
ATP2B2,0.057360824688635625
ABCC2,0.12955303870716553
KRT8,0.025571403319416618
PCDH15,0.10414694878020993
SOST,0.028948526033332273
XYLT2,0.02928501574967968
FOXO1,0.03615098341254794
CLCNKB,0.08017506986945237
STAT1,0.04475379105008838
FKTN,0.1482447188597278
GGT1,0.02581242602067393
BPGM,0.0
PTGER2,0.023685928495844836
CRH,0.0
EGFR,0.03258282048724109
ERBB2,0.06508284593236352
C10orf2,0.01572649165714922
TCAP,0.03506746496679859
KRT18,0.06398246361305433
GGCX,0.028687625256679995
GJC2,0.016999393923299633
PANK2,0.024157267008151836
SCO2,0.09582836668050804
LOX,0.07162767646536874
ABCB11,0.04872096829934527
SLURP1,0.019141513772029557
ZMPSTE24,0.07366457266029283
TLR2,0.09443321671263102
SLC4A4,0.0690373620399831
GPHN,0.024936979762779206
NBN,0.07669848328753086
PVRL1,0.09314958789182871
LAMA2,0.1573609442302031
EVC2,0.05929229888980509
LEPRE1,0.04856762675064964
FGG,0.1741660386333551
FGB,0.08923058730085061
PPP2R1B,0.03961957369726166
TRH,0.04461470239953413
F11,0.051983192531649645
PNLIP,0.04355058773211886
MAP3K8,0.08476291742147272
RHAG,0.01261641818729429
EDNRB,0.08065561840193583
HR,0.03131170163828479
PCK1,0.16555705174715518
SLC45A2,0.10927235822447803
P2RY12,0.04462812707279504
VPS33B,0.03025428395709535
ATM,0.0936656110183694
MDM1,0.01430766625791134
SERPINF2,0.14864311484475007
VDR,0.10126266051908822
ACE,0.09145158444736907
HPD,0.09884818278608189
FUT1,0.09120846949726415
WNT10A,0.10596897821459755
RDH12,0.09120922253703792
ACAA1,0.17330062987726286
NPR2,0.023261169207748487
CYP11B1,0.11364143759785095
TREH,0.1042769810006339
ERCC6,0.06605486786414365
MAT1A,0.006352522934089898
HFE,0.16394015741310486
EDARADD,0.006352513806085651
IFNGR1,0.14691862598581387
CDH23,0.15514869602095743
SCNN1A,0.04732578717642133
SLC5A2,0.01866208916692511
ITGB3,0.060772481906319155
WNT4,0.03781155756887335
F12,0.05971079678101031
ING1,0.05371639387669803
SLC4A11,0.014191376149732156
HSPG2,0.11481448723084807
OCA2,0.142662079014148
ATP8B1,0.08910287195759507
RASSF1,0.09074497465118649
