CGD_gene,ADscore,ARscore,XLscore,hi,rec,constaint_score,Genic_score,PAEscore
COL3A1,0.7516800145194915,0.058150648424590064,0.000001,0.99739,0.87801,1.831537358,-0.2333399995,0.7585273346553113
COL5A1,0.6778443423222968,0.08374848897825926,0.000001,0.000001,0.000001,1.38102214,-3.0091690532,0.6226163329907909
COL6A1,0.06294406447334584,0.07080666209597021,0.000001,0.6413,0.53998,0.466689158,-1.4866122554,0.19214371924171506
COL6A2,0.025143411867367932,0.07373576437045026,0.000001,0.50744,0.37851,-0.058815417,-1.0019647746,0.12196227132775637
COL7A1,0.08755590739059434,0.04130163042766543,0.000001,0.14584,0.25273,0.399505142,-4.2364232447,0.10464231609813981
COL9A1,0.025128664341230317,0.7446237603425375,0.000001,0.49846,0.17535,-0.675243264,-0.8561180291,0.6076307802211048
COL9A3,0.6971134133137975,0.08674164260400659,0.000001,0.000001,0.000001,-0.999660554,0.6117192622,0.029164498499873136
CPT2,0.000001,0.6946889487085357,0.000001,0.13981,0.10129,-0.455672583,0.5144169068,0.5913705557412814
CREB1,0.0840509581239502,0.010501643116331205,0.000001,0.99423,0.9487,2.24259804,0.0809838472,0.04950956622424422
CRX,0.000001,0.09591001137035322,0.000001,0.78537,0.33817,0.640346774,0.0846217467,0.05495662291374677
CRYAB,0.5964088141454627,0.017581809048694417,0.000001,0.5132,0.56457,0.000001,-0.2515300117,0.803268742563295
CSF1R,0.6675637609983375,0.04969066162709517,0.000001,0.42433,0.52469,1.336262293,0.6098940946,0.08917993383513015
CSF3R,0.6920878392889787,0.10427317625946333,0.000001,0.14855,0.33622,1.011009523,1.7857870586,0.09329969852177028
CTNNB1,0.7870701734965146,0.012894466116330147,0.000001,0.99997,0.9963,4.197769059,-0.5822252308,0.1462263785549341
CTSK,0.024903898716780764,0.5225721222708075,0.000001,0.31764,0.0995,1.683132443,-0.0053819721,0.009600703340520282
CXCR4,0.728055162594778,0.01280646531677524,0.000001,0.90261,0.79193,1.782321851,-0.2956224973,0.5849858515547989
CYP11A1,0.00618819044800367,0.04964947674734675,0.000001,0.30797,0.14046,1.190595759,0.020302773,0.602718567940067
DCTN1,0.5990855301934542,0.006473649216935519,0.000001,0.51731,0.50536,2.245483676,-0.87816671,0.06646887250854414
DES,0.012728529320108123,0.05479927334520484,0.000001,0.78691,0.12202,0.694911423,-0.5124440339,0.7170465437623239
DFNA5,0.6500969010027071,0.08238392597382706,0.000001,0.10609,0.11513,-1.765303237,-0.1303808215,0.02277179459751732
DISC1,0.012748417512288158,0.11680053307337353,0.000001,0.08914,0.26891,-0.269208317,0.2039491397,0.1002130042973646
DMPK,0.000001,0.19417228142605428,0.000001,0.19672,0.2805,0.094378541,-0.7715534169,0.7748035385309164
DNAJB6,0.5983159998607208,0.04413297928194764,0.000001,0.34214,0.21906,0.62616319,-0.1394785526,0.05019592437361407
DNM1L,0.725178838348581,0.07107432430846208,0.000001,0.40663,0.24974,2.490995005,-0.9790726815,0.0
DSPP,0.6698950287515332,0.025491379334617714,0.000001,0.000001,0.000001,-2.616877582,4.0361817475,0.037308437173717866
EDAR,0.061326398771270316,0.08637896344397093,0.000001,0.19297,0.44715,1.302834823,-0.44448505,0.11906889711007479
EDARADD,0.012681751556468532,0.000001,0.000001,0.12325,0.09383,0.975376,0.1930342957,0.006311797035246257
EDN3,0.009381459562081154,0.026983943299637488,0.000001,0.37232,0.36965,-0.367202613,-0.3599402506,0.6243588898466372
EGFR,0.11346055463365598,0.035779055413628705,0.000001,0.99968,0.98895,2.030631708,-2.1608617414,0.8818136034299158
EGR2,0.2360284910331243,0.000001,0.000001,0.96995,0.66487,3.244090634,-0.227663163,0.06547478584482629
EHMT1,0.73901266646319,0.01889292450268151,0.000001,0.19698,0.1459,2.592266717,-1.5820057885,0.028248369261025044
EIF4G1,0.6808072104747037,0.01092769192130866,0.000001,0.87963,0.17117,2.474819129,-1.2714594481,0.0
ELANE,0.687433076637309,0.05075156832901282,0.000001,0.6087,0.91567,2.337283396,0.1948527018,0.8013733127950685
ELN,0.6671684000348278,0.137640115719904,0.000001,0.000001,0.000001,-0.47682269,-0.0826505704,0.7111395053542136
ENG,0.5703683304216625,0.18676654806706064,0.000001,0.15044,0.76645,0.429719905,-0.3949364374,0.7412526300372131
ERBB2,0.19795250779738396,0.06444457030614356,0.000001,0.99949,0.89401,3.065365803,-0.5879133996,0.22815562780528525
ETV6,0.06835636923839745,0.006352547021796027,0.000001,0.91377,0.5142,1.845292176,-0.6244972083,0.02814351491902987
EXT1,0.7092063071244711,0.012771945164431824,0.000001,0.73601,0.26791,1.980734544,-1.1334093185,0.6543596084315075
EYA1,0.6402271699303125,0.08176490332066609,0.000001,0.82736,0.27632,0.071741717,-0.8449669785,0.7289372954731577
F10,0.0106449722647293,0.7265908957892434,0.000001,0.14421,0.45572,0.33215956,-0.5528988129,0.8026941709221137
F11,0.05219439197098056,0.13342966879489596,0.000001,0.04557,0.4827,0.31452144,-0.9295205137,0.743882926519074
FANCC,0.028219213809304953,0.7614919243804465,0.000001,0.07462,0.51811,0.562094333,0.3546327142,0.8086794646837812
FAS,0.043073341286771066,0.15778875712191784,0.000001,0.09094,0.8716,1.211997442,0.4612283722,0.8116130783279559
FASLG,0.7483369924023169,0.02412751624330055,0.000001,0.69145,0.84779,-0.079558582,-0.4058538669,0.7054925000390238
FBN1,0.7055209925772109,0.035421058084035104,0.000001,0.8338,0.11376,4.012251162,-2.8139710747,0.61576601263125
FGD4,0.012484774252152235,0.6598137881813245,0.000001,0.11096,0.12967,1.829143262,-0.1560653138,0.02550288525807452
FGF10,0.6953681167942883,0.06300013246201534,0.000001,0.60971,0.45158,1.572354863,0.4135008965,0.7070416395490757
FGF8,0.040891545751460506,0.03878160680874855,0.030280397705609148,0.53552,0.58572,1.35519729,-0.317668748,0.8150073364087054
FGFR1,0.21758965409705214,0.030297194821861873,0.000001,0.9963,0.78607,3.047846662,-1.3520824581,0.783997050731231
FHL1,0.006324758525262656,0.000001,0.6235404927273748,0.4585,0.13588,1.519542336,-0.0292476112,0.5728558241716172
FLNC,0.6263534251894081,0.041819772000440826,0.000001,0.30916,0.28051,3.787790318,-3.6412017164,0.12800606163189124
FLT4,0.02554672333074029,0.021189026999770644,0.000001,0.19958,0.23555,3.042560017,0.7072206406,0.7418941162051007
FMR1,0.046817020983779656,0.000001,0.9015169812192492,0.57959,0.5174,2.954178952,0.2609916862,0.7543921399637631
FUS,0.07826788669685861,0.09223303686381965,0.000001,0.42621,0.49093,1.753715066,-1.0011204781,0.041819030967554814
FXYD2,0.5996304415674135,0.006413687559022907,0.000001,0.000001,0.000001,0.000001,0.1930342957,0.664619099250399
GABRA1,0.6671253317938038,0.012606671889830197,0.000001,0.000001,0.000001,2.785751568,-0.4499465344,0.019358239620147554
GABRG2,0.6525824191064064,0.009326235868646645,0.000001,0.1914,0.20783,2.994837104,-0.4279001894,0.03543032145923285
GALE,0.018997691796779348,0.7860094943081123,0.000001,0.43492,0.56947,-0.647598541,-0.5565370434,0.6792301000051777
GALT,0.01863443016491504,0.7372720502286352,0.000001,0.10313,0.09557,1.267528302,-0.1358388221,0.6622377456929288
GARS,0.6463475578014932,0.02566651270057951,0.000001,0.32729,0.09418,1.569758205,-0.7108643211,0.0
GATA1,0.015122544715193484,0.006365996374595488,0.9031406482896633,0.33731,0.70879,1.065784061,-0.6042718101,0.8391157602542594
GATA2,0.6902519462940395,0.04757388255890156,0.000001,0.36437,0.63508,1.970611314,-0.4242585377,0.7649002946640217
GCH1,0.06117553706082856,0.07824539416368752,0.000001,0.29184,0.75661,1.888573256,-0.0972061904,0.7147021812452612
GDAP1,0.000001,0.09659728935891203,0.000001,0.1741,0.16319,-0.146827702,-0.6924585987,0.04904937542418352
GDF5,0.022239290571006196,0.06235172838750383,0.000001,0.49057,0.32768,1.213142986,-0.0678812493,0.03120761466641212
GFI1,0.6870803096495216,0.010319486162610338,0.000001,0.36337,0.28825,2.483925405,0.3271310692,0.7110455442644846
