CGD_gene,ADscore,ARscore,XLscore,hi,rec,constaint_score,Genic_score,PAEscore
AK1,0.006246270856198777,0.7674829373723361,0.000001,0.15139,0.64321,-0.288479234,-0.1376585754,0.7156285074329017
AK2,0.011059389290773805,0.6954957452447651,0.000001,0.49696,0.35793,0.457157296,0.2168989902,0.7122049425069967
AKR1C2,0.000001,0.6420084717169386,0.000001,0.000001,0.000001,0.378674571,-0.0935664077,0.5832552830294746
AKR1D1,0.000001,0.7178755635236098,0.000001,0.1437,0.16811,-0.661011701,-0.6483651047,0.6038010743496546
ALAD,0.014154370872751296,0.6286896181037301,0.000001,0.11936,0.55928,0.975378766,-0.5583574367,0.6763795518593511
ALDH18A1,0.025870576718706663,0.6798041042526152,0.000001,0.29356,0.46298,1.669443302,-0.9313380396,0.08750761766569738
ALDH1A3,0.006323356602484109,0.7283494405853724,0.000001,0.25694,0.26772,1.564074733,-0.5785836229,0.029154037360032286
ALDH3A2,0.000001,0.7332335567090993,0.000001,0.07195,0.33841,0.042862842,-0.1119732654,0.09481956661914678
ALDH4A1,0.030987695282151048,0.7235113832110022,0.000001,0.72198,0.21304,-0.396467481,0.2075899273,0.1059893196440836
ALDH5A1,0.05102382478861468,0.6858427949497167,0.000001,0.80822,0.21248,0.379993294,0.3987253137,0.04614354480539033
ALDH6A1,0.025316308266283328,0.7918170314491543,0.000001,0.20099,0.21694,0.642556145,-0.4022122566,0.04715466023931658
ALDH7A1,0.024609103085553946,0.786191999202236,0.000001,0.46546,0.37812,-0.091901346,-0.468351206,0.7650274560675612
ALDOA,0.04084565059284905,0.6901118498032309,0.000001,0.30328,0.57075,0.820837553,-0.5804039787,0.8093002339041858
ALDOB,0.006281337110664024,0.7882147771089487,0.000001,0.2477,0.7282,0.387110735,0.062575634,0.7444045663961821
ALG1,0.006487199898604617,0.7900136793311531,0.000001,0.10757,0.19047,1.231811818,0.0441681027,0.7053012212083319
ALG11,0.006281454860042051,0.6571596998571766,0.000001,0.000001,0.000001,1.044452894,-0.4903975986,0.6183768659425238
ALG12,0.000001,0.5086735181785056,0.000001,0.09456,0.14056,-0.329201334,-0.6410862342,0.6286580387668447
ALG14,0.000001,0.5941715059864894,0.000001,0.29417,0.10965,1.05768921,0.1930342957,0.5513285321624817
ALG2,0.025219687396275416,0.7189115434788786,0.000001,0.07226,0.20173,0.837042465,0.240763792,0.7213008143798718
ALG3,0.000001,0.7118480861531392,0.000001,0.000001,0.000001,0.511721668,-0.6024505683,0.700134694906211
ALG6,0.021147838772141818,0.789264826736267,0.000001,0.30252,0.17567,0.978512591,0.2866749959,0.6372939700455064
ALG8,0.000001,0.6865925881384546,0.000001,0.43977,0.17284,-0.068590594,0.4869110486,0.6569748297892845
ALG9,0.0405768317509891,0.6802406267108421,0.000001,0.50403,0.21568,1.221506075,0.5071394008,0.6472633436918191
ALMS1,0.044497242111648364,0.7143199415541946,0.000001,0.07684,0.1104,-0.458619126,2.2852761184,0.7413084165651671
ALOX12B,0.000001,0.6912592567588867,0.000001,0.000001,0.000001,1.09758067,-0.6190392752,0.0
ALOXE3,0.009473846451101175,0.7054210531060727,0.000001,0.09931,0.15375,0.585060786,-0.9956649357,0.04077637689203746
ALS2,0.006382199249692671,0.7800464369618181,0.000001,0.000001,0.000001,2.046662403,-1.4550912085,0.10832413504845856
ALX1,0.000001,0.6194933387631061,0.000001,0.65422,0.10311,0.772052058,0.3069026678,0.0
ALX3,0.000001,0.6570674416459311,0.000001,0.5213,0.09992,0.764647851,-0.2497093186,0.03401527280086257
AMACR,0.038330019798351704,0.644191795444193,0.000001,0.000001,0.000001,2.492569177,1.4183845793,0.6360995821159938
AMH,0.031122300411461228,0.6743181679425111,0.000001,0.000001,0.000001,0.18848829,0.000001,0.7174835161479953
AMHR2,0.012607875733114131,0.6367177237184511,0.000001,0.32915,0.15847,0.450971223,-0.9349773582,0.7015463982939646
AMN,0.000001,0.6715291135232913,0.000001,0.000001,0.000001,2.390451269,0.000001,0.5886549117123269
AMPD1,0.007857005016573607,0.8583070840771538,0.000001,0.27146,0.44922,-1.036497693,0.0734923116,0.17632483455460704
AMPD2,0.044107602446606595,0.7110396038769787,0.000001,0.23763,0.21683,3.705304966,-1.4623338342,0.0
AMT,0.03419597235124666,0.7642765229290399,0.000001,0.39114,0.27728,0.40134534,-0.3783461165,0.6548743831083699
ANGPTL3,0.006345337909533258,0.6939048621339984,0.000001,0.000001,0.000001,-0.591369363,-0.1137927883,0.031534693952419715
ANKS6,0.012849536859944378,0.6493760409672606,0.000001,0.13402,0.10372,0.165133722,-0.3472083861,0.03263953456670817
ANO10,0.015802557989979697,0.6577917133307196,0.000001,0.13961,0.09565,-0.068399938,0.9571774187,0.0
ANO5,0.012595530961561631,0.672819411342512,0.000001,0.11025,0.11663,0.00356743,0.5842000361,0.5665351442165439
ANO6,0.006279352550211437,0.6619024465322908,0.000001,0.000001,0.000001,1.02507959,-0.0826505704,0.7242501483245105
ANTXR2,0.000001,0.5600435676818086,0.000001,0.29739,0.10893,1.215206623,0.5732798156,0.5706923095103232
AP3B1,0.021562492554340045,0.7069855547291235,0.000001,0.35326,0.31608,1.692253236,0.4262314502,0.7082366842692889
AP4B1,0.00846354306172662,0.6928229592089192,0.000001,0.17088,0.11086,0.111217615,-0.1303808215,0.02177375541147788
AP4E1,0.000001,0.7119219705820489,0.000001,0.45354,0.09957,-0.353123836,-0.6595000464,0.018910130750570683
AP4M1,0.0062824017347338805,0.7027175185469196,0.000001,0.000001,0.000001,-0.200176291,-1.1756875639,0.03762486422862364
AP4S1,0.000001,0.5940579359852994,0.000001,0.000001,0.000001,0.000001,-0.3617612788,0.0
AP5Z1,0.012836042385721893,0.6640071627358933,0.000001,0.13548,0.10205,-2.182832749,-0.6045254419,0.00963146879832272
APOA2,0.024803569779345985,0.6462041999406114,0.000001,0.65547,0.43086,0.000001,-0.0310671881,0.022156781010507543
APOC2,0.04569687621458597,0.6570571718298442,0.000001,0.08282,0.10297,0.000001,0.7698899692,0.7208030173433155
APOPT1,0.000001,0.6567656494866604,0.000001,0.11985,0.10135,0.000001,0.014844891,0.008386994207974284
APRT,0.0062871848583177705,0.6431284346508958,0.000001,0.000001,0.000001,-0.044812506,-0.0953862162,0.5728396926822796
APTX,0.015591824763728454,0.6796763953864218,0.000001,0.07205,0.29287,0.123625089,0.4630461076,0.11020933365433831
ARFGEF2,0.04511712803164434,0.6385030349633721,0.000001,0.60497,0.15011,2.843619834,-2.3850431691,0.06305412360980438
ARG1,0.012878454963542915,0.6109767132009186,0.000001,0.65628,0.43126,0.656441833,-0.2497093186,0.717991004391175
ARHGDIA,0.06386075986667057,0.6914889125237572,0.000001,0.000001,0.000001,2.099943656,-0.2515300117,0.08283729391175577
ARL13B,0.000001,0.6328387071870496,0.000001,0.06719,0.09956,-0.321246479,-0.047654689,0.03206048583536569
ARL2BP,0.000001,0.627946845928565,0.000001,0.04825,0.06823,0.000001,0.1250766517,0.0
ARL6,0.000001,0.6243653238859382,0.000001,0.08372,0.20815,0.000001,-0.0972061904,0.05799195303993556
ARL6IP1,0.022002864625255397,0.6387360639797017,0.000001,0.25617,0.10772,0.000001,-0.141298762,0.009477761250300953
ARMC4,0.0063851973752974715,0.6403843829348296,0.000001,0.07694,0.09088,1.375098083,1.1188086955,0.6759189495681335
ARNT2,0.012619251092603954,0.6760304351151031,0.000001,0.16608,0.18581,1.220345322,-0.8413293837,0.693170592045516
ARSA,0.020330446163181772,0.757059479110259,0.000001,0.15293,0.69768,0.050773957,0.1562175509,0.17260790551726746
ARSB,0.012761680177047948,0.7290353607837432,0.000001,0.06229,0.25636,1.007269396,0.020302773,0.7251352410869158
ASAH1,0.000001,0.8190337328325745,0.000001,0.16517,0.28903,-1.89218272,0.5144169068,0.08616356903674725
ASL,0.019597035944718014,0.6318085947523339,0.000001,0.08654,0.45435,1.15899065,-0.9754338633,0.6913770948509605
ASNS,0.036532182916094544,0.719477031495429,0.000001,0.47881,0.25994,2.140867281,-0.0256086474,0.5586954667358902
ASPA,0.000001,0.6395585801632515,0.000001,0.000001,0.000001,-0.052015299,-0.1156124935,0.0
ASPH,0.033634319930574454,0.7679951122443809,0.000001,0.0978,0.18131,-0.620302667,-1.2363909237,0.6550440400138383
ASPM,0.02463971009608396,0.6885275591806217,0.000001,0.34412,0.08672,0.064345882,1.7606223604,0.06113409466572638
ASS1,0.06685388471097896,0.8453477808912593,0.000001,0.48724,0.8084,-0.107671546,-0.5106243717,0.762709045640898
ATCAY,0.006286404388308613,0.599059421889093,0.000001,0.000001,0.000001,0.734979174,-0.5363109395,0.06029213971119012
ATIC,0.04546622513719183,0.800888329573607,0.000001,0.86437,0.69972,-0.648688847,0.2480413479,0.15612228477808288
ATOH7,0.006376519451393273,0.6225554726016359,0.000001,0.000001,0.000001,1.454798044,0.1250766517,0.0
ATP13A2,0.026196175820492645,0.6696626567133717,0.000001,0.15955,0.16122,1.776585147,-1.1593972988,0.11702077130420223
ATP2A1,0.006356456924515482,0.6166832599840926,0.000001,0.000001,0.000001,2.688386595,-1.3925551116,0.5849002235943211
ATP5A1,0.05911807843460924,0.745351948752391,0.000001,0.27304,0.584,1.865867713,-0.3801660072,0.03133087223054825
ATP5E,0.01872637991664454,0.6685300362155749,0.000001,0.000001,0.000001,0.000001,0.257356108,0.009489070253447526
ATP6V0A2,0.05267058060598169,0.6734966768336946,0.000001,0.25637,0.37408,0.889536978,-0.6154053561,0.057280972517846196
ATP6V0A4,0.000001,0.610761242018778,0.000001,0.23229,0.22304,0.304154237,-0.1690175437,0.7095641820746056
ATP6V1B1,0.04763598832473014,0.7283541751359661,0.000001,0.16583,0.32362,0.976386042,-0.4849406854,0.739568930007981
ATP7B,0.02128064235860953,0.7276509103833303,0.000001,0.30819,0.63604,0.576797456,-0.3363151996,0.7635434256830668
ATPAF2,0.006291254582931575,0.7631985789103997,0.000001,0.14597,0.14592,0.429938851,-0.291981272,0.01574095620235895
AUH,0.028437999747245462,0.752769840320746,0.000001,0.1314,0.3329,0.494157244,-0.3838075643,0.0715387554320195
AURKC,0.006381963649117181,0.67533206428582,0.000001,0.07295,0.09546,1.417252977,-0.2056170114,0.044183032280335016
B2M,0.04535245555221727,0.6466490062860957,0.000001,0.14687,0.78296,0.000001,0.1012116093,0.679574764286725
B3GALNT2,0.006337113065231346,0.7162310195164089,0.000001,0.000001,0.000001,0.18301374,-0.7126843264,0.0
B3GALT6,0.000001,0.5526559181705873,0.000001,0.000001,0.000001,1.408623032,0.000001,0.05041229805542663
B3GALTL,0.000001,0.6706746535996173,0.000001,0.22185,0.13753,-0.369429475,0.0662141039,0.65269881891024
B3GAT3,0.009500645793879332,0.663979483640519,0.000001,0.24819,0.13137,0.717542992,-0.2037968257,0.024898205457418023
B4GALT1,0.04324807405059075,0.6562499130410274,0.000001,0.60852,0.20954,1.971434695,-0.516085732,0.5875771677662516
B4GALT7,0.006400278235639471,0.6866408100111749,0.000001,0.27929,0.11796,0.476692027,-0.7347312591,0.012554320874068006
B9D1,0.006314026384941175,0.627472159520872,0.000001,0.000001,0.000001,0.718118184,-0.1394785526,0.03789050301975931
B9D2,0.000001,0.6913287565386919,0.000001,0.14199,0.1327,0.471100365,-0.1174323893,0.01259678966045221
BAAT,0.000001,0.6492388628742329,0.000001,0.04469,0.10577,0.702435922,0.707379532,0.607701390848358
BANF1,0.000001,0.6695580523446414,0.000001,0.08396,0.37501,0.000001,-0.0090208044,0.034917523733528924
BBIP1,0.000001,0.6000922729066015,0.000001,0.000001,0.000001,0.000001,0.000001,0.0
BBS9,0.022253962019298218,0.7346153916753627,0.000001,0.41184,0.20084,0.191070084,1.050838371,0.03164794769292116
BCHE,0.020719735849583167,0.7653976473396278,0.000001,0.24308,0.5053,-0.977698197,0.7789776864,0.8505421858260024
BCKDHA,0.006539557110562418,0.49537781397321046,0.000001,0.000001,0.000001,1.177226706,-1.019530098,0.6497852162130554
BCKDHB,0.02411682328175555,0.7436958013149777,0.000001,0.21382,0.37665,0.944494029,-0.4499465344,0.6374793399977754
BCKDK,0.009330653300079593,0.6686056657702875,0.000001,0.19254,0.12253,1.755997857,-0.5363109395,0.6198275587707722
BCL10,0.036526767427909695,0.6416626436400408,0.000001,0.75946,0.26603,1.112924178,0.2812202784,0.6986680807850792
BCS1L,0.000001,0.8234024625829354,0.000001,0.18102,0.6537,1.629730206,-0.6244972083,0.7256111606112657
BFSP1,0.02231569556974467,0.701902393445843,0.000001,0.16061,0.12426,0.64828248,0.0441681027,0.02201869279380902
BIN1,0.018970605546057534,0.6352028907954947,0.000001,0.22561,0.20155,2.2202354,-0.7549584177,0.023228326637088265
BLM,0.10523028342839434,0.8118915277450828,0.000001,0.75964,0.61682,0.618462607,-0.1415168905,0.7287268159373833
BLNK,0.000001,0.8136695585557461,0.000001,0.25084,0.28432,0.779197013,-0.3801660072,0.6752334113997865
BLOC1S3,0.03990920386740203,0.7836999206071837,0.000001,0.0538,0.23912,1.970270485,0.000001,0.7658206109392672
BLOC1S6,0.000001,0.6885524681956482,0.000001,0.06159,0.23227,0.000001,0.1250766517,0.7302577656851104
BMP1,0.13303504337285055,0.6620879018422272,0.000001,0.74981,0.47505,1.993229748,-1.9641369472,0.1148256259225051
BMPER,0.025020101232365415,0.6843661719732399,0.000001,0.16544,0.1313,0.878335955,0.0698529742,0.06765718488466298
BOLA3,0.000001,0.68425796824021,0.000001,0.26354,0.11348,0.000001,0.0130256087,0.0
BRAT1,0.01873112291573927,0.702373404833974,0.000001,0.000001,0.000001,-0.337374998,0.7697035888,0.04159222540658931
BSCL2,0.000001,0.6544891403549244,0.000001,0.000001,0.000001,0.552075563,-0.179930907,0.6658972582612759
BSND,0.060160189348103056,0.6506295141272607,0.000001,0.07478,0.36521,0.204200003,-0.3581197867,0.6775665467265014
BTD,0.008242827434865126,0.7209975906932903,0.000001,0.06254,0.23561,-0.272598973,0.0239414738,0.7323178792565049
C1QA,0.000001,0.6437133502252573,0.000001,0.000001,0.000001,0.973391866,-0.1394785526,0.7191394651516956
C1QB,0.000001,0.6525771270456998,0.000001,0.000001,0.000001,1.502505747,-0.0494742139,0.6840784023558926
C1QC,0.014715504343769397,0.740677955674555,0.000001,0.18335,0.19575,0.218438065,-0.5822252308,0.6083441838349402
C1S,0.01869200828120687,0.7725934380958972,0.000001,0.18965,0.44275,1.280277917,-0.0440158786,0.6430254585451157
C2,0.000001,0.6856751160892897,0.000001,0.21942,0.13298,1.508165713,-0.0660618817,0.6555050282427495
C2CD3,0.006286442594325964,0.653652654445766,0.000001,0.000001,0.000001,0.911746141,2.1772977394,0.028579415294373068
C3,0.010451330985022107,0.6632456891645228,0.000001,0.000001,0.000001,3.269482017,-1.6886985056,0.7361368830746439
C4B,0.006447583740207669,0.5786047134005593,0.000001,0.000001,0.000001,0.000001,0.000001,0.012838977568741246
C6,0.000001,0.6720264180326344,0.000001,0.06098,0.10515,-0.424435265,1.3190731855,0.6656707647397875
C7,0.000001,0.766485600639748,0.000001,0.47789,0.10803,-0.508594825,-0.2149286583,0.6985653255024534
C8A,0.012608738850159383,0.6684907194695188,0.000001,0.10455,0.10694,-0.761458027,1.5818407531,0.6266734638481815
C8B,0.000001,0.7297992940798008,0.000001,0.05295,0.12134,-1.076985776,0.558509856,0.7257017237408389
C9,0.012550816528813884,0.6603354344666797,0.000001,0.14,0.12151,-0.95420384,1.4458917525,0.7191641058876181
CA12,0.01257759451007752,0.7084372436855841,0.000001,0.21265,0.1284,0.272103908,-0.6226769456,0.6992838592088706
CA2,0.012826495849016519,0.7678906070302208,0.000001,0.23005,0.37216,0.367686894,-0.1394785526,0.721584581354093
CA5A,0.000001,0.5668321028669613,0.000001,0.11209,0.10917,-0.705388617,-0.0017432382,0.6803901326730936
CA8,0.000001,0.6457528884907917,0.000001,0.43521,0.13588,1.627250385,-0.0072013718,0.012499742729211494
CABP2,0.000001,0.6552311474042429,0.000001,0.08504,0.11476,0.69382326,0.2830380993,0.7058256919275467
CABP4,0.03476264801846716,0.6408811849880474,0.000001,0.18229,0.11212,0.436896939,-0.047654689,0.0
CACNA2D2,0.02055334663049147,0.6558159560236511,0.000001,0.48941,0.15443,2.973727164,-0.5492639351,0.012939006823699771
CACNA2D4,0.000001,0.7116877905882195,0.000001,0.24173,0.12929,0.62427211,0.9276987562,0.006376090013793788
CANT1,0.000001,0.7387327041655183,0.000001,0.15204,0.14174,1.485875663,0.0221221066,0.009496512898264468
CAPN3,0.000001,0.650241326339474,0.000001,0.78952,0.10758,0.472788469,-0.7017804379,0.01435835033346176
CARD9,0.0063495253129015276,0.5767485165257821,0.000001,0.09281,0.13929,-0.937980954,-0.5933581366,0.6259024160794979
CASP8,0.012702765869892116,0.7939750621432082,0.000001,0.21787,0.67074,1.261085743,0.0423487925,0.7153285103444513
CASQ2,0.000001,0.6954064641060798,0.000001,0.1211,0.1526,-0.847218237,-0.1578848607,0.5956599723340048
CAT,0.0186071786176862,0.7570077090094152,0.000001,0.49631,0.94977,0.286037712,-0.3103880539,0.8104442338199076
CBS,0.07010113831141937,0.6637027496872524,0.000001,0.53216,0.84775,0.449827201,-0.7954171627,0.8541157949510175
CBX2,0.000001,0.6714038175987544,0.000001,0.13339,0.12407,0.673479528,-0.6595000464,0.012843169270019984
CC2D1A,0.006403969634487646,0.6688612954903163,0.000001,0.09564,0.10252,1.715134378,1.4531985528,0.008464960278512216
CC2D2A,0.000001,0.6032160424092646,0.000001,0.09921,0.13205,0.415204065,-0.916836882,0.00631611392118657
CCBE1,0.00633249103141265,0.6032731568815878,0.000001,0.16662,0.11306,-0.502492266,-0.0458352466,0.6405852646288094
CCDC103,0.04379841774933107,0.7624134917282239,0.000001,0.000001,0.000001,0.283903075,-0.3838075643,0.6229565867470177
CCDC114,0.000001,0.7571441769668946,0.000001,0.000001,0.000001,-0.517695639,1.4274911202,0.6441966087202534
CCDC151,0.018829019978152856,0.5881763769142396,0.000001,0.000001,0.000001,2.353406039,0.8212523112,0.7467774444886452
CCDC39,0.000001,0.7379349125794238,0.000001,0.000001,0.000001,-0.845301855,1.2492724842,0.6308857865654537
CCDC40,0.024926635837125108,0.7027825550274333,0.000001,0.000001,0.000001,0.595616793,1.8868936577,0.6599130471134705
CCDC8,0.03146274932792082,0.5310742479603582,0.000001,0.10639,0.06833,2.088330597,1.4440706184,0.03566447367228229
CCNO,0.03816754730741322,0.6423576385428048,0.000001,0.08032,0.19498,1.057411293,0.4832751312,0.5937061125708826
CCT5,0.04506277945026851,0.5868711482069985,0.000001,0.81284,0.35026,1.721549284,-0.4242585377,0.031139464169391316
CD19,0.05468434861599584,0.6603279417497099,0.000001,0.75448,0.5175,1.787558029,-0.179930907,0.646561310233367
CD247,0.000001,0.5449453441747807,0.000001,0.000001,0.000001,-0.450394511,-0.3397150076,0.5963078807363609
CD27,0.038177032821387014,0.6798363598167276,0.000001,0.15177,0.43205,-0.173301509,-0.0274281004,0.7079882812084933
CD2AP,0.04285297906035831,0.6855936681561416,0.000001,0.69543,0.37908,-0.638509826,-0.3544805185,0.10637040991741978
CD320,0.000001,0.7097127195502232,0.000001,0.05398,0.19055,0.418403152,-0.0035625971,0.7162569010087914
CD36,0.043028210847442995,0.7460417632210627,0.000001,0.000001,0.000001,-6.521178036,-1.7012826384,0.7607661084332272
CD3D,0.04190585136113181,0.7862801924023743,0.000001,0.05886,0.38242,0.000001,-0.2074375289,0.7332566792513978
CD3E,0.01874826930209617,0.6515621821552093,0.000001,0.01665,0.04095,0.133214539,0.3712242491,0.632494166056289
CD3G,0.029798531333238627,0.7502774071909168,0.000001,0.0653,0.2066,0.000001,0.5255523478,0.6128234067435171
CD40,0.019594717301936473,0.6854980411804646,0.000001,0.16893,0.72844,1.662122055,0.3271310692,0.7309342973333255
CD59,0.000001,0.7364142748724909,0.000001,0.02026,0.20606,0.000001,-0.2735762528,0.6908621136878339
CD79A,0.012477036285951244,0.7102652326241061,0.000001,0.000001,0.000001,0.930903749,0.1268952597,0.6569874508372279
CD79B,0.0544737218869552,0.6566234911022504,0.000001,0.24113,0.3219,0.222192779,-0.4499465344,0.6306301501151659
CD81,0.05221014507119308,0.7726915788500027,0.000001,0.14177,0.39216,1.599737292,-0.3397150076,0.7374583406408451
CD8A,0.04507965724759878,0.7772242720155058,0.000001,0.08437,0.97198,1.327878463,0.014844891,0.7777556779199916
CDAN1,0.012629216438326603,0.6252340991539931,0.000001,0.11601,0.18383,-0.131541437,-0.8286376329,0.7098357987857257
CDC6,0.0662924658276956,0.7064322647395332,0.000001,0.99704,0.17463,1.354066265,0.2628100446,0.06634714662524027
CDH3,0.025304311115926504,0.5848771033636618,0.000001,0.000001,0.000001,0.423741371,0.000001,0.04679527007220587
CDHR1,0.000001,0.7095014447253626,0.000001,0.44263,0.14397,-1.016929432,0.0109925208,0.064538691167815
CDK5RAP2,0.01251560229274691,0.6499148828005886,0.000001,0.03779,0.08467,-0.874561952,-1.9516192883,0.6594893263196184
CDK6,0.028663165386009597,0.6589423170521409,0.000001,0.99538,0.40044,2.910716742,0.1930342957,0.028221266657283747
CDT1,0.03956386788005592,0.6198107483418931,0.000001,0.96985,0.14861,-0.093661211,1.1849533096,0.08756522421300614
CEBPE,0.09885275862145315,0.6519421968294987,0.000001,0.48261,0.21317,1.106807238,-0.381986487,0.7109723466177839
